Card 1,Card 2,Card 3,Score
3c,Ac,As,0.815438541
9h,Ad,Ah,0.815170823
Ac,Ah,Kc,0.815054826
8s,Ah,As,0.814150042
6h,Ac,Ah,0.813309393
3c,Ac,Ah,0.812457939
3d,Ac,Ad,0.812277326
7c,Ad,Ah,0.812007369
Ac,Ad,Jc,0.811630446
Ac,Ah,Td,0.810898607
Ad,As,Ts,0.810724635
9d,Ah,As,0.810563144
9d,Ac,Ah,0.810474598
4d,Ah,As,0.810182151
Ac,Ah,Kd,0.809776385
5c,Ad,Ah,0.809524477
Ac,As,Kc,0.809390448
3c,Ad,As,0.809169550
Ad,Kh,Ks,0.809169550
2c,Ac,Ad,0.809163040
8c,Ac,Ad,0.809163040
8h,Ah,As,0.809100680
5h,Ac,As,0.808709462
Ac,As,Js,0.808636328
6d,Ad,Ah,0.808267875
9h,Kh,Ks,0.808203131
Ac,As,Kd,0.807987913
2h,Ah,As,0.807956107
7s,Ah,As,0.807197275
Ah,As,Jh,0.806842404
Ac,As,Qs,0.806797809
2c,Ac,As,0.805802198
8d,Ac,Ad,0.805695433
2s,Ad,As,0.805483055
Ad,As,Jd,0.805157660
6c,Ac,Ad,0.805112500
Ah,As,Kh,0.804939742
9h,Ac,Ah,0.804541305
3s,Ah,As,0.804232155
3d,Ac,As,0.804126494
4c,Ac,Ad,0.803831931
Ad,Ah,Qd,0.803707134
8c,Ah,As,0.803614448
9s,Ad,As,0.803391189
6s,Ah,As,0.803361630
Ac,Ad,Jd,0.803011384
6h,Ac,Ad,0.802541516
Ad,Ah,Qc,0.802479775
9s,Ac,Ah,0.802118982
6h,Ac,As,0.802090567
6d,Ac,As,0.801713825
Ad,As,Tc,0.801503924
4s,Ac,As,0.801070863
7d,Ad,As,0.800886135
9c,Ac,Ah,0.800790346
Ah,As,Th,0.800753144
5h,Ad,As,0.800358155
Ac,Ah,Jc,0.799728330
Ac,Ah,Qs,0.799416156
Kd,Kh,Qd,0.799159554
Ac,As,Qd,0.799142008
5h,Ah,As,0.798971880
Ad,Ah,Jc,0.798951274
4s,Kd,Ks,0.798918990
4h,Ac,As,0.798907843
Ah,Kd,Kh,0.798688924
6s,Ac,Ah,0.798321351
8d,Ad,Ah,0.798276584
7d,Ad,Ah,0.798182962
Ad,Ah,Qs,0.798146940
Ah,As,Qd,0.798126564
Ac,Ah,Jd,0.798072693
Ac,Kh,Ks,0.798052886
9s,Ac,Ad,0.797998821
Ad,As,Qh,0.797730115
9h,Ah,As,0.797687074
7s,Ad,Ah,0.797664085
Ad,Ah,Ts,0.797620503
As,Kc,Kd,0.797599871
Ac,Ad,Kd,0.797596254
5d,Ad,As,0.797337098
As,Kd,Ks,0.797235759
Ad,As,Ks,0.796975821
5c,Ac,Ad,0.796864783
Ac,Ah,Ts,0.796777730
7s,Ac,As,0.796766161
Ad,Ah,Kh,0.796724341
6d,Ac,Ah,0.796303181
9d,Ac,Ad,0.796223089
5c,Ah,As,0.795192894
9d,Ad,Ah,0.795123059
2d,Kd,Ks,0.795120388
Ac,Ad,Kc,0.795106664
6s,Ac,As,0.794775939
6d,Kd,Kh,0.794016765
Ac,Ad,Ts,0.793697077
7h,Ah,As,0.793677130
3s,Kc,Ks,0.793648346
3d,Ad,Ah,0.793620246
Ac,Ah,Th,0.793562355
Ac,Ah,Ks,0.793241744
9c,Ac,Ad,0.793178098
Ah,As,Qc,0.792931109
Ac,As,Ts,0.792929424
4h,Ad,Ah,0.792926712
6c,Ah,As,0.792684473
2h,Ad,Ah,0.791998975
8s,Ad,As,0.791821845
6c,Ac,As,0.791538154
Ac,Ad,Qs,0.791538154
Ad,As,Kd,0.791517047
8h,Ac,Ah,0.791359689
Ac,Kc,Kh,0.791140746
8d,Ah,As,0.791006502
3h,Ah,As,0.790924021
Ad,As,Td,0.790730838
Ad,Ah,Td,0.790699105
Ac,Ad,Qh,0.790598323
7h,Ad,Ah,0.790582530
Kc,Ks,Th,0.790518597
Ac,Kc,Ks,0.790411000
6d,Ad,As,0.790410123
Ah,As,Kd,0.790132719
Ac,As,Qc,0.789981710
Ac,As,Jh,0.789944720
5c,Ac,Ah,0.789758498
3h,Ad,Ah,0.789711384
As,Kh,Ks,0.789571260
Ac,Ad,Qd,0.789308374
4d,Ac,Ad,0.789246146
3s,Ad,As,0.789166885
As,Kc,Ks,0.789116063
Ah,As,Jc,0.789001178
8c,Ac,Ah,0.788928368
7h,Kh,Ks,0.788893717
Ac,As,Kh,0.788793777
4d,Kd,Ks,0.788714001
3c,Ad,Ah,0.788628610
9d,Kd,Ks,0.788573668
9s,Ah,As,0.788559584
Ad,Kd,Kh,0.788348253
4h,Ad,As,0.788184090
5s,Ac,Ah,0.788143466
9h,Ac,Ad,0.788107769
7h,Ac,Ad,0.787822618
3h,Ac,Ad,0.787497456
4d,Ac,Ah,0.787335504
3h,Ad,As,0.787321061
6c,Ac,Ah,0.787273153
7s,Ad,As,0.787036566
Kc,Qh,Qs,0.786874847
8s,Ac,As,0.786617315
2s,Ad,Ah,0.786610295
2d,Ac,Ad,0.786602829
2h,Ac,Ah,0.786582409
Ah,Kc,Ks,0.786545698
4c,Kd,Ks,0.786535977
7h,Ad,As,0.786235019
7c,Ac,As,0.786235019
5d,Ad,Ah,0.786062458
Kh,Ks,Th,0.785828864
7s,Ac,Ah,0.785804090
5d,Ac,Ad,0.785731448
Ad,Qd,Qh,0.785258610
9h,Kd,Kh,0.785239169
3s,Ac,Ah,0.785200887
5d,Ac,Ah,0.785180336
4s,Ac,Ad,0.785171473
3s,Ad,Ah,0.784875246
4h,Ac,Ad,0.784542558
4c,Ad,As,0.784538082
Ad,Kc,Kh,0.784494905
8d,Ac,Ah,0.784439500
Ac,Ah,Qc,0.784227093
5d,Ah,As,0.784103655
7h,Ac,Ah,0.784062309
6h,Ad,Ah,0.784048819
Ad,Ah,Js,0.783833139
4c,Ac,As,0.783504633
9h,Ac,As,0.782883391
Ad,Ah,Tc,0.782604594
8s,Ac,Ah,0.782187009
4d,Ac,As,0.782005063
Kd,Ks,Ts,0.781968326
Ah,As,Td,0.781518175
Jc,Kc,Kd,0.781518175
Ah,As,Qs,0.781518175
6d,Ah,As,0.781518175
Ac,As,Ks,0.780842525
Ah,As,Ks,0.780670733
Kc,Kh,Qh,0.780503550
6d,Ac,Ad,0.780281150
Ad,As,Th,0.780256866
Ad,As,Kh,0.779962731
5d,Ac,As,0.779962731
Ac,Ad,Kh,0.779803809
2s,Kd,Kh,0.779570626
9d,Ad,As,0.779446650
8h,Ac,Ad,0.779327097
Kc,Qc,Qs,0.779292058
Ad,Ah,Ks,0.779280128
8d,Kd,Ks,0.779255881
2d,Ac,Ah,0.779192899
Ac,Ah,Js,0.779192899
Ad,As,Js,0.779059661
2h,Ac,As,0.778984845
8d,Ac,As,0.778931762
Kc,Qc,Qd,0.778817912
3d,Ah,As,0.778713366
Ad,Ah,Th,0.778632568
6h,Ad,As,0.778617091
9c,Ad,Ah,0.778397198
5h,Ad,Ah,0.778193179
3s,Ac,As,0.778139376
Ac,Ah,Tc,0.777884594
4h,Kc,Kh,0.777798286
Jh,Kd,Kh,0.777597478
Ah,As,Ts,0.777375124
6s,Ac,Ad,0.777340742
9c,Ac,As,0.777312214
Ah,As,Kc,0.777103592
2h,Ad,As,0.776988315
9c,Kh,Ks,0.776701532
Ac,As,Qh,0.776563599
4d,Kc,Ks,0.776380613
6c,Ad,Ah,0.776305498
5h,Ac,Ah,0.776284847
5s,Ac,Ad,0.776174044
7c,Ad,As,0.775642052
Ac,Ad,Tc,0.775630681
Ad,As,Qs,0.775364327
9h,Ad,As,0.775181744
5c,Ad,As,0.774967675
7d,Ac,Ad,0.774660711
9d,Ac,As,0.774408107
Ac,Ah,Qh,0.774086020
7h,Ac,As,0.774052741
9s,Ad,Ah,0.773972381
Ah,As,Jd,0.773910107
Ad,Ah,Qh,0.773889425
7d,Kc,Kd,0.773542248
8c,Ad,Ah,0.773542248
Ad,Kc,Kd,0.773124461
9d,Kc,Kd,0.772744655
Jh,Kc,Ks,0.772499036
5c,Kh,Ks,0.772101725
Kc,Kh,Tc,0.772089162
7c,Kd,Kh,0.772086406
7d,Ah,As,0.772011236
9s,Kc,Ks,0.771846342
3c,Ah,As,0.771703569
8s,Ac,Ad,0.771510285
Ac,Ah,Kh,0.771051520
Ah,Kc,Kh,0.770899093
8c,Kc,Ks,0.770135247
3h,Ac,Ah,0.769970041
9c,Ad,As,0.769865844
Ks,Qh,Qs,0.769863205
As,Kc,Kh,0.769832877
Ac,Ad,Ks,0.769301123
7c,Ac,Ah,0.769298267
5c,Kd,Ks,0.769239496
Kc,Kd,Qd,0.768954798
5s,Ah,As,0.768443910
8s,Kc,Kd,0.768387602
Ad,Kc,Ks,0.768186346
6d,Kh,Ks,0.767943478
8c,Kc,Kd,0.767778512
9c,Kc,Kh,0.767772374
7d,Kd,Ks,0.767723970
Ac,Ad,Qc,0.767480543
Ad,Ah,Kd,0.767386398
Kc,Kd,Qh,0.766755904
Ad,Qc,Qd,0.766524276
2s,Ac,Ad,0.766422702
Ah,Kh,Ks,0.766422702
2c,Ad,As,0.766374272
Kc,Kd,Qc,0.766264214
Ac,Ad,Jh,0.766228756
7d,Ac,As,0.765587852
Ad,Kd,Ks,0.765520522
2d,Ah,As,0.765384969
Ah,Kc,Kd,0.765375689
As,Kd,Kh,0.765375689
3h,Kc,Kh,0.765295440
7d,Ac,Ah,0.765179635
9c,Kd,Kh,0.765137557
2c,Ad,Ah,0.764665086
As,Qc,Qs,0.764650038
6c,Qd,Qs,0.764512968
5d,Kh,Ks,0.764338612
4c,Ah,As,0.764308578
Ac,Qh,Qs,0.764122729
3h,Qc,Qh,0.764099216
2c,Ac,Ah,0.763932823
8h,Kc,Kh,0.763892887
3h,Kc,Kd,0.763808662
Kc,Qd,Qs,0.763439406
Jc,Kd,Kh,0.763317385
3d,Kd,Ks,0.763271120
Ah,Kd,Ks,0.762551143
Jh,Kc,Kh,0.762512040
Kd,Kh,Qh,0.762460140
Ac,Kd,Kh,0.762408858
Kd,Ks,Td,0.761957540
3s,Kh,Ks,0.761915625
8h,Kc,Kd,0.761915625
9c,Ah,As,0.761480710
Jc,Kc,Kh,0.761362791
Ad,As,Jc,0.761329865
Kd,Ks,Qc,0.761320801
4s,Kc,Ks,0.761253251
Kh,Ks,Td,0.761128477
Kd,Kh,Qs,0.760676276
2s,Ac,Ah,0.760591087
5h,Kc,Kh,0.760448064
Kc,Kd,Th,0.760442654
Jd,Qd,Qs,0.760329296
Ah,Qd,Qh,0.760211055
Kd,Kh,Td,0.760211055
Kc,Kh,Ts,0.760211055
3d,Ac,Ah,0.759848278
6h,Kd,Kh,0.759385198
8c,Kh,Ks,0.759378746
2d,Kh,Ks,0.759336917
4c,Ad,Ah,0.759330595
Ah,As,Tc,0.759001797
Ad,Ah,Jd,0.758982271
2c,Kd,Ks,0.758962103
9s,Kd,Ks,0.758904598
Kc,Ks,Qs,0.758882129
Ac,As,Td,0.758685765
As,Qc,Qd,0.758649654
5c,Kc,Kh,0.758546436
Kc,Kd,Qs,0.758328801
7s,Kd,Ks,0.758317089
2h,Kd,Ks,0.758306633
8s,Ad,Ah,0.758187474
5d,Kd,Ks,0.757698961
9h,Kd,Ks,0.757488478
3c,Kd,Kh,0.757245396
Jc,Kh,Ks,0.757200266
2h,Qh,Qs,0.757056242
Kc,Kd,Ts,0.757043146
Kc,Ks,Qh,0.756881817
Kc,Kh,Qs,0.756797207
6d,Kd,Ks,0.756631064
7h,Kd,Ks,0.756549632
Jc,Jh,Qc,0.756418525
Kh,Qd,Qs,0.756410454
2d,Ac,As,0.755970193
Ad,As,Qc,0.755959634
8d,Kc,Kh,0.755791456
6c,Ad,As,0.755654041
Kh,Qc,Qs,0.755648502
8h,Ad,As,0.755097346
9c,Kc,Kd,0.755028893
Ac,Qd,Qs,0.754913068
Jc,Kd,Ks,0.754725812
Ac,Ad,Th,0.754664733
2s,Kh,Ks,0.754485749
5s,Ad,Ah,0.754254226
Kd,Qc,Qh,0.754254226
3h,Ac,As,0.754088319
2s,Ah,As,0.753861251
Ah,Qc,Qh,0.753769367
4c,Ac,Ah,0.753707772
9c,Kc,Ks,0.753552580
Jh,Kd,Ks,0.753446890
5s,Kd,Ks,0.753200622
Jc,Js,Kc,0.752971943
Ac,As,Tc,0.752891815
5s,Kc,Ks,0.752705138
6s,Kc,Ks,0.752534909
Ah,Qc,Qs,0.752456504
4d,Kc,Kd,0.752375835
8c,Kc,Kh,0.752253546
Js,Qc,Qs,0.752068206
Kc,Kh,Qc,0.751882539
6s,Ad,As,0.751857695
Ad,Ah,Kc,0.751818754
6s,Kc,Kh,0.751560728
5c,Kc,Kd,0.751429378
Ks,Qd,Qh,0.751323213
Kd,Qd,Qs,0.751154337
Kc,Qc,Qh,0.750931769
9h,Kc,Kd,0.750859597
Jd,Kh,Ks,0.750810855
8c,Kd,Ks,0.750787194
2c,Ah,As,0.750401833
Ad,As,Kc,0.750376999
7h,Kd,Kh,0.750226888
Kc,Kd,Td,0.749952071
As,Qd,Qh,0.749861239
Kd,Kh,Ts,0.749773445
Ad,Qc,Qs,0.749651359
Jd,Kd,Kh,0.749497305
2s,Qh,Qs,0.749497305
5d,Kc,Kd,0.749391033
Ah,As,Qh,0.749094297
3s,Qd,Qs,0.749049001
2c,Kc,Kh,0.749021841
6s,Ad,Ah,0.748906634
Kc,Ks,Tc,0.748834617
Kd,Ks,Qh,0.748769284
Kh,Qd,Qh,0.748646335
Js,Kh,Ks,0.748551579
5s,Kc,Kd,0.748464226
3d,Kc,Ks,0.748184801
9d,Kc,Kh,0.747577025
Kc,Kh,Qd,0.747455129
2c,Qc,Qd,0.747328201
4c,Kc,Kh,0.747287064
2d,Kc,Ks,0.747125570
7c,Ah,As,0.747125570
8h,Kd,Ks,0.746908820
Kc,Ks,Td,0.746850915
8s,Kd,Kh,0.746503314
4h,Kd,Ks,0.746433876
Ah,Qh,Qs,0.746283236
3d,Kd,Kh,0.746126687
6h,Kc,Kd,0.746014397
3c,Kc,Kd,0.745874478
Kd,Qd,Qh,0.745792703
2h,Ac,Ad,0.745734880
5h,Kc,Ks,0.745516489
3c,Kc,Ks,0.745291408
Jd,Kc,Kd,0.745186803
Jc,Kc,Ks,0.745176262
7c,Kc,Ks,0.745155862
Jd,Kd,Ks,0.745008390
Js,Kc,Kd,0.744895864
Jh,Js,Qd,0.744884881
6c,Kc,Ks,0.744796336
Kd,Ks,Qd,0.744734599
8c,Kd,Kh,0.744708203
9c,Qd,Qh,0.744498970
2d,Kc,Kh,0.744492688
Js,Kd,Ks,0.744480966
9d,Kc,Ks,0.744400977
9s,Kc,Kh,0.744356828
4h,Kd,Kh,0.744348838
As,Qc,Qh,0.744311951
3d,Kc,Kh,0.744230715
Kd,Qh,Qs,0.744065726
4h,Kc,Kd,0.743433795
4h,Ah,As,0.743300642
9h,Kc,Ks,0.743054984
3d,Kh,Ks,0.742843654
4c,Kd,Kh,0.742803997
7s,Kh,Ks,0.742732558
Kd,Kh,Th,0.742687225
Js,Kc,Ks,0.742665364
Ks,Qd,Qs,0.742150299
3c,Kc,Kh,0.741847041
Jh,Kh,Ks,0.741733969
8h,Ac,As,0.741712912
Ac,Qc,Qd,0.741438262
7c,Kc,Kh,0.741356220
4s,Kc,Kh,0.741266440
8d,Kd,Kh,0.740917206
Qc,Qh,Tc,0.740766852
6c,Kc,Kh,0.740602509
8s,Kc,Kh,0.740310109
4s,Kh,Ks,0.740068789
5s,Qh,Qs,0.739695753
Jc,Jd,Kh,0.739679569
7h,Kc,Kh,0.739651553
4s,Ac,Ah,0.739458933
Kh,Ks,Qh,0.739454388
4h,Kc,Ks,0.739300141
Qh,Qs,Ts,0.739187400
Kh,Ks,Tc,0.739124607
Jc,Jh,Kd,0.738702290
8h,Kh,Ks,0.738614370
7c,Qc,Qs,0.738598540
3c,Qc,Qh,0.738556536
6c,Kc,Kd,0.738291119
2d,Kc,Kd,0.738259710
9c,Qc,Qh,0.738016138
Kd,Ks,Th,0.737880449
Jc,Jh,Qh,0.737813047
Ac,Qc,Qs,0.737813047
Jh,Js,Qc,0.737650575
5c,Qc,Qd,0.736662272
Kd,Ks,Tc,0.736549178
Jd,Qd,Qh,0.736380723
Ad,Jc,Jd,0.736336523
Kd,Kh,Tc,0.736240545
Js,Kd,Kh,0.735949283
8c,Qh,Qs,0.735869765
8h,Kd,Kh,0.735869765
7d,Kh,Ks,0.735752550
2h,Kc,Kd,0.735562106
2c,Qc,Qs,0.735503862
Ah,Jh,Js,0.735158446
5h,Kd,Kh,0.734684472
8d,Kc,Ks,0.734637924
Kd,Qc,Qs,0.734563595
2h,Kc,Kh,0.734366524
Ac,Jc,Jh,0.734290286
Kh,Ks,Qd,0.734188789
9s,Kd,Kh,0.733999915
6d,Kc,Kh,0.733940471
8s,Kc,Ks,0.733938701
9s,Kc,Kd,0.733729001
Kd,Kh,Qc,0.733692954
As,Qd,Qs,0.733634929
8s,Qc,Qd,0.733608378
Ac,Qc,Qh,0.733606455
6d,Kc,Kd,0.733521318
Jc,Qc,Qh,0.733458782
Kc,Kh,Th,0.733259052
6s,Qc,Qs,0.733259052
6s,Kd,Ks,0.733179634
8s,Qh,Qs,0.733140533
4h,Kh,Ks,0.733073510
Kc,Ks,Ts,0.732997494
Jd,Js,Kh,0.732939715
6s,Kd,Kh,0.732920585
7s,Kc,Ks,0.732918789
8s,Kh,Ks,0.732819649
9s,Kh,Ks,0.732616588
7s,Kc,Kd,0.732525088
2s,Kc,Kd,0.732413972
As,Qh,Qs,0.732347898
Ad,Qd,Qs,0.732292186
6s,Qd,Qs,0.732076239
6c,Kh,Ks,0.732024506
3c,Qc,Qd,0.731857865
4d,Kh,Ks,0.731801561
6c,Kd,Kh,0.731696784
6s,Kc,Kd,0.731582545
Qd,Qs,Td,0.731426947
Jh,Js,Ks,0.731367355
Jc,Qd,Qs,0.731208413
Qd,Qh,Th,0.730845473
Jd,Jh,Th,0.730710601
3s,Qh,Qs,0.730631759
2c,Kc,Ks,0.730592806
Jh,Js,Kh,0.730522677
9d,Qc,Qd,0.730324830
Kc,Kh,Td,0.730300053
Ad,Qh,Qs,0.730070406
8d,Qc,Qs,0.729939926
6h,Kd,Ks,0.729896046
7d,Kc,Kh,0.729689418
4c,Kc,Ks,0.729669246
6s,Kh,Ks,0.729654332
6h,Kc,Kh,0.729594515
5c,Kc,Ks,0.729528802
Kh,Qc,Qd,0.729374984
Js,Kc,Kh,0.729266124
8c,Qc,Qd,0.729258927
6h,Qh,Qs,0.729223248
Kc,Kd,Tc,0.729210467
8d,Kc,Kd,0.728973045
9d,Kh,Ks,0.728973045
9d,Qc,Qh,0.728877055
3c,Qc,Qs,0.728827543
9h,Qh,Qs,0.728778254
9s,Qc,Qh,0.728676517
Jc,Js,Ks,0.728571712
9h,Kc,Kh,0.728508032
As,Jh,Js,0.728400751
9s,Qd,Qs,0.728363710
2c,Qc,Qh,0.728203648
Jd,Tc,Ts,0.727968405
Jh,Kc,Kd,0.727792157
4c,Kh,Ks,0.727771956
7s,Kc,Kh,0.727726429
7d,Qc,Qd,0.727208178
Ac,Jd,Jh,0.727176760
5d,Kc,Kh,0.727132045
Ac,Jh,Js,0.727087527
Jd,Js,Qd,0.726861770
9d,Qc,Qs,0.726753593
Jc,Jd,Qd,0.726741906
4c,Qd,Qh,0.726341355
Qc,Qs,Th,0.726302432
6h,Kh,Ks,0.726277493
5d,Kc,Ks,0.726099297
4d,Kc,Kh,0.726054603
Ac,Kd,Ks,0.725767214
9d,Jc,Jd,0.725402393
3s,Kc,Kd,0.725142582
4c,Kc,Kd,0.724889091
8c,Qc,Qh,0.724622654
3s,Kd,Ks,0.724466323
3c,Kd,Ks,0.724267074
Qc,Qd,Th,0.724178721
9h,9s,Jh,0.724139946
Qc,Qd,Ts,0.724040125
8d,Kh,Ks,0.723991448
3c,Kh,Ks,0.723986575
5h,Qc,Qs,0.723986575
5s,Qc,Qd,0.723822352
Ks,Qc,Qd,0.723626682
8d,Qd,Qs,0.723337966
7h,Kc,Ks,0.723052695
7h,Qc,Qs,0.722871085
Kh,Th,Ts,0.722757133
Jc,Js,Qc,0.722563136
8h,Kc,Ks,0.721955616
Jd,Jh,Qh,0.721858238
3d,Qh,Qs,0.721753694
Ah,Jc,Jd,0.721534000
6c,Kd,Ks,0.721368649
Kh,Ks,Ts,0.721363819
8c,Qc,Qs,0.721349773
2s,Kc,Ks,0.721332021
5h,Kc,Kd,0.721317105
2s,Kc,Kh,0.721155963
7c,Qh,Qs,0.721082595
Jc,Jd,Kc,0.721082595
Qd,Qs,Tc,0.721021584
4h,Qh,Qs,0.720847053
2d,Qd,Qh,0.720841669
Jc,Jd,Kd,0.720784494
Js,Tc,Ts,0.720575229
Jd,Kc,Ks,0.720509806
6d,Kc,Ks,0.720471585
Kc,Ks,Qc,0.720420650
2c,Kh,Ks,0.720332658
Jh,Js,Kd,0.720142355
4d,Qc,Qd,0.720131745
Qh,Qs,Td,0.720103534
8c,Qd,Qs,0.719827927
7s,Kd,Kh,0.719827927
Qs,Td,Ts,0.719663923
Jh,Qc,Qd,0.719636858
Ad,Td,Ts,0.719626064
Ac,Jc,Jd,0.719548612
Jd,Kc,Kh,0.719493865
Ad,Jd,Jh,0.719410186
Qd,Tc,Td,0.719201062
Kc,Ks,Qd,0.719083358
Qc,Qd,Tc,0.718971467
6d,Qc,Qd,0.718891722
5s,Qd,Qs,0.718843508
Qc,Qs,Tc,0.718492468
2h,Kc,Ks,0.718466973
Jh,Js,Kc,0.718293440
Qc,Qs,Ts,0.718218080
4s,Qd,Qs,0.718160902
7s,Qh,Qs,0.717898221
7c,Kd,Ks,0.717850745
Jh,Qc,Qh,0.717763276
3s,Kc,Kh,0.717548334
4h,Qc,Qd,0.717471478
Ks,Qc,Qs,0.717234910
5c,Kd,Kh,0.717135726
Jd,Jh,Kh,0.717089502
Jh,Qd,Qh,0.716973799
Ad,Jd,Js,0.716903900
Jc,Js,Qs,0.716676929
5d,Qd,Qh,0.716633781
9d,Qd,Qs,0.716568525
2s,Kd,Ks,0.716119139
Jd,Qc,Qs,0.716082338
7c,Kh,Ks,0.716057967
6d,Qd,Qh,0.715912747
Jh,Qd,Qs,0.715782954
8h,Qh,Qs,0.715655278
3d,Kc,Kd,0.715266348
Kc,Qd,Qh,0.715247811
Qc,Qh,Ts,0.714859028
2h,Kh,Ks,0.714788899
Ah,Qd,Qs,0.714622594
5c,Qc,Qh,0.714618896
Jd,Jh,Kc,0.714534713
Ad,Qc,Qh,0.714335042
5s,Kc,Kh,0.714302622
8h,Qc,Qh,0.714286518
2s,Qd,Qs,0.714105817
5d,Kd,Kh,0.714105817
3h,Kc,Ks,0.713994276
As,Jd,Js,0.713891228
5c,Qh,Qs,0.713886155
Jd,Qc,Qd,0.713751921
4d,Kd,Kh,0.713676881
Qd,Qs,Th,0.713350034
4s,Qh,Qs,0.713335390
7c,Qc,Qd,0.713236497
7d,Kd,Kh,0.713150934
7d,Qc,Qs,0.712971250
8h,Qd,Qh,0.712938023
Qc,Qd,Td,0.712808698
6s,Qc,Qd,0.712782454
Jc,Qc,Qs,0.712769420
2s,Qc,Qs,0.712580667
Jc,Qc,Qd,0.712383625
3d,Jd,Js,0.712264187
As,Jc,Js,0.712039490
Jc,Qd,Qh,0.712027908
Ac,Qd,Qh,0.711806836
3h,Jc,Js,0.711505680
9d,Kd,Kh,0.711367872
8h,Qd,Qs,0.711161293
9h,Jh,Js,0.711142293
Qh,Td,Ts,0.710905322
Jc,Jh,Qs,0.710860004
9c,Kd,Ks,0.710851793
5c,Jc,Jd,0.710701229
7c,Kc,Kd,0.710555602
Jc,Jd,Qc,0.710494441
Js,Qc,Qh,0.710221273
6s,Qh,Qs,0.710031243
Jc,Tc,Ts,0.709885895
3h,Kd,Kh,0.709814676
2d,Kd,Kh,0.709783431
5s,Kh,Ks,0.709765008
Kh,Ks,Qs,0.709728870
6h,Qd,Qs,0.709582407
3d,Qd,Qh,0.709581518
8h,Qc,Qs,0.709451379
7h,Qc,Qh,0.709440182
7c,Qd,Qs,0.709407183
Kd,Qc,Qd,0.709103594
Jc,Js,Kd,0.709078848
Jd,Js,Qc,0.708967546
Ks,Qc,Qh,0.708600475
Jd,Jh,Tc,0.708523231
7s,Jc,Js,0.708503399
2h,Kd,Kh,0.708210099
9h,Qd,Qh,0.708190327
2c,Qh,Qs,0.708176577
9s,Jc,Js,0.707781175
Ac,Jc,Js,0.707377334
7h,Kc,Kd,0.707335341
4s,Qd,Qh,0.706943254
Ac,Tc,Td,0.706943254
2h,Jc,Js,0.706943254
Ks,Th,Ts,0.706943254
7h,Qd,Qh,0.706555247
Kd,Ks,Qs,0.706533952
5d,Qc,Qs,0.706532147
2c,Qd,Qh,0.706524764
Qc,Qh,Th,0.705776806
Jh,Qc,Qs,0.705739138
8h,Jd,Jh,0.705704468
